Season,Squad,Unnamed: 2_level_0 Poss_for,Touches Def Pen_for,Touches Def 3rd_for,Touches Mid 3rd_for,Touches Att 3rd_for,Touches Att Pen_for,Touches Live_for,Take-Ons Att_for,Take-Ons Succ_for,Take-Ons Succ%_for,Take-Ons Tkld_for,Take-Ons Tkld%_for,Carries Carries_for,Carries PrgDist_for,Carries PrgC_for,Carries 1/3_for,Carries CPA_for,Carries Mis_for,Carries Dis_for,Receiving Rec_for,Receiving PrgR_for,Unnamed: 2_level_0 Poss_against,Touches Touches_against,Touches Def Pen_against,Touches Def 3rd_against,Touches Mid 3rd_against,Touches Att 3rd_against,Touches Att Pen_against,Take-Ons Att_against,Take-Ons Succ_against,Take-Ons Succ%_against,Take-Ons Tkld_against,Take-Ons Tkld%_against,Carries Carries_against,Carries TotDist_against,Carries PrgC_against,Carries 1/3_against,Carries CPA_against,Carries Mis_against,Carries Dis_against,Receiving Rec_against,Receiving PrgR_against
2018-2019,Huesca,44.5,2109,6288,8630,4582,723,19263,592,314,53.0,278,47.0,9347,28071,653,484,127,557,356,10474,1201,55.5,23013,2157,6857,10824,5607,817,694,391,56.3,303,43.7,12510,72482,768,545,180,560,409,14442,1562
2018-2019,Leganés,43.1,1976,6160,8726,4496,632,19159,469,253,53.9,216,46.1,9754,24360,447,367,98,476,304,10646,1141,56.9,24519,2052,7018,11921,5784,621,581,354,60.9,227,39.1,13630,72819,705,584,117,553,382,16119,1585
2018-2019,Levante,45.7,2262,6322,8319,4541,688,18917,738,402,54.5,336,45.5,9156,32056,709,451,175,535,429,10747,1284,54.3,22279,2097,6482,9992,6067,1055,722,458,63.4,264,36.6,12412,70897,868,675,239,503,308,13867,1542
2018-2019,Rayo Vallecano,48.7,2337,7145,9307,4597,620,20756,848,534,63.0,314,37.0,11826,37033,831,551,150,644,495,12385,1316,51.3,21765,1997,6057,10258,5680,878,594,335,56.4,257,43.3,11743,64755,660,480,178,540,394,13334,1543
2018-2019,Real Madrid,60.1,2035,7389,13413,7527,1076,28070,756,460,60.8,295,39.0,17576,47867,1009,748,301,493,356,20515,2081,39.9,20119,2534,7038,8853,4451,600,629,384,61.0,245,39.0,10572,59592,615,469,146,479,381,12379,1150
2018-2019,Real Sociedad,51.7,2466,7645,10663,4646,660,22704,679,411,60.5,267,39.3,12418,39771,695,523,134,571,466,14458,1367,48.3,21608,1970,6395,9916,5513,793,584,336,57.5,248,42.5,11225,60435,657,491,188,548,331,13244,1393
2018-2019,Sevilla,52.3,2154,7148,9945,5989,953,22823,606,357,58.9,249,41.1,12731,38134,828,590,199,486,391,14442,1792,47.7,21477,2377,6907,9765,5034,668,513,310,60.4,203,39.6,11828,65430,696,566,148,491,395,13106,1400
2018-2019,Valencia,47.1,2095,6684,9870,5366,835,21673,589,343,58.2,246,41.8,11323,34907,751,498,177,501,337,13565,1547,52.9,24319,2201,7084,11322,6165,769,588,350,59.5,238,40.5,14035,74539,791,590,159,482,360,16278,1621
2018-2019,Valladolid,46.8,2292,6916,9021,4660,592,20379,477,294,61.6,183,38.4,10474,32563,662,473,149,507,347,11933,1294,53.2,22717,1949,6123,11039,5804,786,678,398,58.7,280,41.3,12553,71910,800,607,128,569,434,14502,1631
2018-2019,Villarreal,48.3,2184,6753,10048,5230,804,21789,603,348,57.7,255,42.3,11752,34419,715,478,209,503,340,13666,1643,51.7,23247,2035,6768,10714,6016,858,659,386,58.6,273,41.4,12774,71386,753,575,158,501,394,15061,1549
2017-2018,Alavés,40.3,2197,6320,8026,3879,560,17985,577,330,57.2,244,42.3,9107,24165,454,347,118,534,403,9603,1030,59.7,24801,1933,6576,12237,6263,848,663,396,59.7,267,40.3,14524,76253,751,592,183,571,435,16638,1828
2017-2018,Athletic Club,49.6,2134,6390,10289,5239,761,21645,611,350,57.3,261,42.7,11930,33853,652,522,136,501,409,13091,1507,50.4,22085,2299,7360,10091,4901,693,735,439,59.7,296,40.3,12401,63932,666,492,152,505,444,13605,1302
2017-2018,Atlético Madrid,47.5,2103,7018,10691,5490,740,22950,693,426,61.5,267,38.5,12659,34201,703,498,169,548,448,14408,1449,52.5,24824,2087,6980,12139,5934,715,847,470,55.5,377,44.5,14996,74627,737,639,137,505,540,16461,1660
2017-2018,Barcelona,62.8,2230,7352,14187,8054,1224,29321,973,619,63.6,354,36.4,19047,53040,1025,797,312,486,465,22019,2133,37.2,19311,2416,6707,8561,4292,623,552,323,58.5,229,41.5,10796,58913,632,480,169,479,400,11689,1179
2017-2018,Betis,56.9,2520,8051,12473,5147,585,25432,681,439,64.5,240,35.2,16808,42791,736,557,177,520,381,17825,1500,43.1,19804,1729,5593,9351,5115,825,537,324,60.3,213,39.7,11043,59758,622,469,193,486,422,12328,1349
2017-2018,Celta Vigo,55.7,2455,8023,11901,5073,708,24748,603,376,62.4,227,37.6,14630,38089,724,568,165,501,428,16844,1576,44.3,20658,1951,6194,9486,5185,762,556,338,60.8,218,39.2,11574,59881,611,507,151,563,371,12694,1346
2017-2018,Eibar,52.0,1647,5339,10665,6169,709,21925,649,352,54.2,297,45.8,11543,28436,635,532,129,621,374,12591,1450,48.0,21036,2620,8787,8648,3822,539,613,355,57.9,258,42.1,10432,51631,488,296,140,559,385,11652,1040
2017-2018,Espanyol,46.9,2154,7119,9852,4461,590,21231,596,323,54.2,272,45.6,11608,28646,532,387,124,534,388,12654,1267,53.1,23788,2175,7081,11396,5592,702,700,429,61.3,271,38.7,14203,74088,706,586,144,533,445,15340,1606
2017-2018,Getafe,40.2,1860,5642,7420,4341,572,17199,584,296,50.7,289,49.5,8099,19639,374,315,104,540,408,8445,1083,59.8,24108,1876,7098,11953,5279,648,732,456,62.3,276,37.7,13658,70037,660,494,126,620,439,15350,1567
2017-2018,Girona,46.8,1983,6509,9126,4530,658,19922,644,360,55.9,284,44.1,10354,26849,590,416,119,475,369,11736,1199,53.2,22066,2040,6783,10770,4781,688,606,366,60.4,240,39.6,12215,67430,721,477,161,564,371,13933,1423
2017-2018,La Coruña,46.8,2107,6802,9416,5051,736,21023,622,375,60.3,246,39.5,10832,28899,640,451,170,461,378,12682,1463,53.2,23566,2138,6682,10977,6137,830,679,387,57.0,292,43.0,13518,70442,774,591,198,529,436,15385,1697
2017-2018,Las Palmas,54.7,2378,7676,11346,4861,618,23597,714,449,62.9,264,37.0,14246,38695,726,577,133,569,458,15716,1318,45.3,20457,1983,6103,9636,4967,846,649,379,58.4,268,41.3,11329,61697,766,504,251,513,385,12478,1391
2017-2018,Leganés,43.0,1888,6390,8493,4251,569,18876,608,341,56.1,267,43.9,9590,23931,534,389,107,559,453,10298,1099,57.0,24248,2008,7755,11461,5283,650,698,374,53.6,323,46.3,14398,72805,645,469,150,569,398,15580,1455
2017-2018,Levante,42.8,2160,6122,8198,4610,658,18690,685,375,54.7,310,45.3,9982,30528,676,459,175,572,445,10628,1276,57.2,24072,2019,6952,11478,5855,911,626,386,61.7,239,38.2,14379,73094,758,561,192,521,377,15996,1649
2017-2018,Málaga,44.1,2074,6485,9190,4454,549,19893,586,308,52.6,278,47.4,10572,23656,463,407,104,576,470,11346,1151,55.9,24275,2108,7265,11522,5776,757,708,435,61.4,270,38.1,13805,74949,777,562,164,521,472,15784,1760
2017-2018,Real Madrid,60.2,1889,6969,13215,8217,1223,28106,752,501,66.6,251,33.4,18912,50530,1131,779,312,460,394,20847,2370,39.8,20298,2717,7190,8806,4516,581,621,369,59.4,252,40.6,11790,61940,598,464,134,467,435,12807,1219
2017-2018,Real Sociedad,56.5,2378,7539,11407,5873,827,24568,623,362,58.1,261,41.9,15068,44860,883,644,183,553,447,16851,1595,43.5,19991,2234,6356,9349,4504,644,537,309,57.5,228,42.5,11389,60562,577,431,144,478,319,12127,1224
2017-2018,Sevilla,54.3,2087,7217,11662,5987,949,24586,661,392,59.3,269,40.7,14721,38333,817,592,257,499,430,16249,1805,45.7,21424,2295,6920,9620,5152,758,685,389,56.8,296,43.2,12126,66081,731,490,197,528,472,13130,1396
2017-2018,Valencia,48.6,2141,7061,10314,5068,746,22171,699,428,61.2,271,38.8,13199,36726,739,516,188,539,475,14202,1549,51.4,23360,2052,6732,10783,6110,773,692,383,55.3,309,44.7,13821,71346,728,576,178,491,436,15302,1601
2017-2018,Villarreal,50.4,2292,7613,10767,4789,691,22936,575,328,57.0,247,43.0,12496,34220,719,486,181,464,393,14905,1442,49.6,22743,1997,6523,10374,6080,880,700,423,60.4,277,39.6,13006,68647,805,559,199,510,434,14661,1570
2024-2025-femenino,Athletic Club,52.6,1948,6765,7703,3543,468,17860,406,169,41.6,236,58.1,9576,22571,302,217,87,461,350,11710,1099,47.4,16578,1634,5576,7007,4124,594,310,174,56.1,133,42.9,9014,42622,382,259,104,470,311,10237,1100
2024-2025-femenino,Atlético Madrid,59.1,1859,5876,8824,5026,671,19590,414,189,45.7,219,52.9,11135,28575,494,341,148,483,371,13386,1577,40.9,14789,1949,6031,5669,3224,502,280,134,47.9,145,51.8,7167,35332,339,221,117,416,311,8549,803
2024-2025-femenino,Barcelona,74.4,807,3561,10864,11172,1585,25458,487,251,51.5,234,48.0,15949,34221,765,542,300,413,289,19501,2581,25.6,11299,3145,7149,3230,1003,161,241,90,37.3,151,62.7,4273,21945,154,94,53,402,284,5101,268
2024-2025-femenino,Dep La Coruña,45.0,2287,6341,6082,2535,383,14811,424,235,55.4,189,44.6,7331,20634,349,205,97,506,309,8214,747,55.0,17361,1267,4632,7597,5298,881,401,214,53.4,184,45.9,9488,48222,525,341,181,481,319,10799,1483
2024-2025-femenino,Eibar,34.4,1843,4979,4595,2576,341,12039,302,150,49.7,150,49.7,4295,9719,185,164,75,481,318,4875,576,65.6,20059,1483,5390,9269,5574,691,448,220,49.1,223,49.8,9558,50675,555,356,131,506,291,13005,1637
2024-2025-femenino,Espanyol,35.2,1762,4790,4447,2755,441,11812,331,153,46.2,177,53.5,4671,13216,303,212,97,553,312,5017,610,64.8,18820,1596,5923,8451,4598,658,433,234,54.0,197,45.5,10321,48770,419,261,136,526,384,12212,1342
2024-2025-femenino,Granada,53.7,1650,5735,7263,3884,584,16716,381,195,51.2,183,48.0,8360,19574,425,236,94,426,296,10072,1074,46.3,15325,1855,5785,6243,3445,539,440,206,46.8,233,53.0,7412,39047,368,218,123,500,315,8790,1012
2024-2025-femenino,Levante,51.1,1947,6660,6946,3678,485,17154,412,217,52.7,193,46.8,8567,20220,363,203,100,540,349,10503,1070,48.9,16838,1579,5315,7280,4403,683,501,227,45.3,271,54.1,8758,46619,426,265,130,478,329,10205,1206
2024-2025-femenino,Levante Planas,50.7,1672,5463,7052,4351,547,16679,457,241,52.7,214,46.8,8750,22422,447,319,156,580,424,10112,1153,49.3,16629,1876,6187,7042,3549,510,373,185,49.6,187,50.1,8368,39806,339,212,106,531,317,9930,907
2024-2025-femenino,Madrid CFF,49.4,2005,6762,6223,3031,546,15866,297,145,48.8,151,50.8,7634,20352,410,202,127,456,276,9199,877,50.6,16637,1522,4781,7445,4585,608,374,176,47.1,198,52.9,8957,42418,374,310,129,570,331,9976,1140
2024-2025-femenino,Real Betis,46.9,2086,6178,6018,2957,402,15024,390,177,45.4,213,54.6,6913,15324,271,226,78,507,388,8378,869,53.1,17106,1481,5366,7003,4919,825,447,226,50.6,221,49.4,8880,45010,464,307,198,503,351,10399,1274
2024-2025-femenino,Real Madrid,60.6,1371,4908,8919,6171,1095,19809,540,305,56.5,234,43.3,11573,32207,682,412,248,485,332,13699,1823,39.4,14373,2477,6479,5449,2594,376,286,131,45.8,154,53.8,6798,33527,266,196,75,445,296,8062,697
2024-2025-femenino,Real Sociedad,58.4,1572,5751,8618,4492,615,18704,338,175,51.8,161,47.6,10186,24705,416,307,117,467,385,12527,1331,41.6,14709,1967,6043,5426,3407,537,415,202,48.7,210,50.6,7344,36995,331,216,116,513,363,8371,911
2024-2025-femenino,Sevilla,43.2,1804,5867,6035,2490,333,14222,389,188,48.3,199,51.2,6724,15955,298,204,84,470,306,7560,713,56.8,17828,1460,5597,8073,4316,586,433,244,56.4,189,43.6,9553,44526,430,265,135,521,355,11318,1234
2024-2025-femenino,UDG Tenerife,44.6,2005,5957,5763,2976,476,14540,362,178,49.2,184,50.8,6519,16365,309,172,101,459,319,7697,834,55.4,17503,1525,5557,7593,4484,551,354,189,53.4,164,46.3,8733,45822,465,309,124,471,336,10754,1205
2024-2025-femenino,Valencia,40.8,1759,5494,5364,2838,398,13508,318,146,45.9,171,53.8,6251,17041,335,225,78,483,291,6802,778,59.2,17993,1561,5276,7939,4952,668,512,262,51.2,248,48.4,9810,50023,517,357,129,437,422,11544,1493
