Squad,Unnamed: 1_level_0 # Pl_for,Unnamed: 2_level_0 Poss_for,Unnamed: 3_level_0 90s_for,Touches Touches_for,Touches Def Pen_for,Touches Def 3rd_for,Touches Mid 3rd_for,Touches Att 3rd_for,Touches Att Pen_for,Touches Live_for,Take-Ons Att_for,Take-Ons Succ_for,Take-Ons Succ%_for,Take-Ons Tkld_for,Take-Ons Tkld%_for,Carries Carries_for,Carries TotDist_for,Carries PrgDist_for,Carries PrgC_for,Carries 1/3_for,Carries CPA_for,Carries Mis_for,Carries Dis_for,Receiving Rec_for,Receiving PrgR_for,Unnamed: 1_level_0 # Pl_against,Unnamed: 2_level_0 Poss_against,Unnamed: 3_level_0 90s_against,Touches Touches_against,Touches Def Pen_against,Touches Def 3rd_against,Touches Mid 3rd_against,Touches Att 3rd_against,Touches Att Pen_against,Touches Live_against,Take-Ons Att_against,Take-Ons Succ_against,Take-Ons Succ%_against,Take-Ons Tkld_against,Take-Ons Tkld%_against,Carries Carries_against,Carries TotDist_against,Carries PrgDist_against,Carries PrgC_against,Carries 1/3_against,Carries CPA_against,Carries Mis_against,Carries Dis_against,Receiving Rec_against,Receiving PrgR_against,Season
Real Sociedad,30,54.9,38.0,22623,2089,6527,10724,5581,823,22611,550,330,60.0,220,40.0,12816,70621,37154,626,492,125,518,311,14729,1530,30,44.9,38.0,19586,2348,6984,8569,4222,579,19581,480,280,58.3,200,41.7,10251,50970,23280,436,319,115,525,347,11770,1002,2020-2021
Sevilla,26,60.9,38.0,26485,2495,8190,12249,6228,784,26478,599,392,65.4,207,34.6,15794,78278,38933,691,552,151,516,309,19128,1606,26,55.0,38.0,18445,2148,6138,8069,4430,579,18439,510,326,63.9,184,36.1,9885,51392,25958,544,445,118,569,308,11114,1089,2020-2021
Valencia,30,46.9,38.0,20239,2575,7195,8736,4520,560,20229,553,341,61.7,212,38.3,11500,62716,32815,576,468,102,498,268,12660,1168,30,53.1,38.0,22473,1899,5948,10051,6697,894,22465,592,394,66.6,198,33.4,12591,65616,34084,713,563,163,465,265,14936,1630,2020-2021
Valladolid,32,45.2,38.0,19403,2227,6559,8418,4627,558,19395,504,291,57.7,214,42.5,9720,52059,25666,564,423,112,524,328,11055,1089,32,54.9,38.0,22763,2003,6612,10553,5815,818,22756,681,434,63.7,247,36.3,12690,65770,34552,693,528,152,577,312,14474,1539,2020-2021
Villarreal,29,55.2,38.0,24816,2442,7838,11470,5730,819,24803,692,437,63.2,255,36.8,14443,77491,41859,737,558,185,545,336,17313,1608,29,44.4,38.0,21190,2249,6635,9463,5298,687,21181,588,349,59.4,239,40.6,11878,62594,31052,635,481,140,505,300,13588,1219,2020-2021
Alavés,32,41.5,38.0,17865,2032,6060,8359,3622,508,17859,497,251,50.5,246,49.5,9373,44654,20855,403,307,100,535,309,9525,936,32,58.5,38.0,23863,1842,6718,11873,5477,739,23848,619,364,58.8,255,41.2,13268,69567,35364,656,492,146,600,324,15540,1535,2019-2020
Athletic Club,26,48.7,38.0,20857,2064,6212,9835,5031,594,20847,587,337,57.4,250,42.6,10354,58313,30842,604,493,110,576,299,12422,1273,26,51.3,38.0,21884,2203,7001,9816,5267,651,21877,614,396,64.5,217,35.3,12428,65062,33686,615,488,106,549,316,13538,1382,2019-2020
Atlético Madrid,30,48.6,38.0,21860,1918,6182,10585,5274,807,21852,543,348,64.1,195,35.9,11872,58628,30072,598,516,156,586,377,13506,1323,30,51.4,38.0,23174,2256,6949,11021,5427,606,23170,640,357,55.8,283,44.2,13247,68033,33924,619,569,105,545,375,14793,1508,2019-2020
Barcelona,28,66.4,38.0,31713,2419,7683,15606,8628,1066,31707,793,524,66.1,269,33.9,20416,102227,57254,923,864,243,444,354,24606,2036,28,33.6,38.0,18087,2241,6429,7656,4201,619,18080,501,290,57.9,211,42.1,9797,54159,27390,576,416,170,470,325,10825,996,2019-2020
Betis,27,56.7,38.0,23715,2485,7853,10431,5665,845,23707,713,445,62.4,268,37.6,14024,78775,41021,834,634,200,548,355,16065,1463,27,43.3,38.0,19236,2164,6191,8320,4907,793,19225,511,290,56.8,221,43.2,10260,56375,28957,613,438,180,466,280,11524,1250,2019-2020
Celta Vigo,30,51.7,38.0,22576,2291,7505,10374,4906,585,22567,610,370,60.7,240,39.3,12921,68433,33492,670,521,133,541,375,14460,1358,30,48.4,38.0,21488,1911,5845,9854,6026,745,21483,615,364,59.2,251,40.8,11897,65184,33444,679,537,148,511,338,13334,1423,2019-2020
Eibar,26,46.3,38.0,19501,1777,5164,9086,5479,633,19491,458,260,56.8,198,43.2,9587,48746,21965,424,409,110,564,355,10333,1246,26,53.7,38.0,22447,2798,9373,8818,4454,662,22441,607,343,56.5,264,43.5,11837,59571,29608,561,412,148,608,303,13149,1168,2019-2020
Espanyol,31,47.4,38.0,20282,2092,6860,9234,4417,604,20278,489,281,57.5,208,42.5,10645,59325,29721,561,405,103,576,331,11783,1222,31,52.6,38.0,22320,2161,6637,10437,5498,696,22313,701,444,63.3,257,36.7,12409,68225,36096,688,552,151,536,371,13875,1444,2019-2020
Getafe,30,45.0,38.0,17737,1484,4842,7903,5206,650,17730,476,274,57.6,202,42.4,7551,40426,18906,416,330,82,635,318,8211,1179,30,55.0,38.0,21102,2227,7906,9625,3758,464,21096,574,338,58.9,235,40.9,10240,51878,23683,376,315,89,686,345,11648,1073,2019-2020
Granada,27,43.8,38.0,18071,2226,6282,7633,4377,585,18066,553,300,54.2,253,45.8,9792,52441,25249,511,381,111,486,290,9720,994,27,56.2,38.0,22510,1937,6931,10446,5317,703,22505,570,332,58.2,238,41.8,12484,66692,34354,672,492,180,575,346,14259,1386,2019-2020
Leganés,29,43.9,38.0,18841,1764,5798,8465,4791,636,18836,581,342,58.9,239,41.1,9273,49830,24609,498,412,122,544,291,10246,1145,29,56.1,38.0,23472,2199,7106,11477,5069,588,23465,610,356,58.4,254,41.6,12902,69099,36248,632,562,114,588,349,14940,1407,2019-2020
Levante,29,48.3,38.0,20210,2479,7642,8291,4454,632,20205,637,386,60.6,251,39.4,10797,61650,32153,711,417,157,537,302,12313,1350,29,51.7,38.0,21696,2115,6333,9561,6022,959,21689,532,328,61.7,204,38.3,12480,66807,34969,741,557,219,549,303,13726,1485,2019-2020
Mallorca,32,45.0,38.0,19626,2340,6588,8406,4870,686,19616,709,392,55.3,317,44.7,11405,65851,34539,740,527,201,625,353,11691,1201,32,55.0,38.0,23484,2066,6696,10996,6017,930,23468,602,375,62.3,227,37.7,13556,74203,39242,774,565,203,545,318,15485,1663,2019-2020
Osasuna,31,47.4,38.0,20122,2002,6073,9400,4869,661,20114,525,315,60.0,210,40.0,9935,51175,25607,562,428,124,611,306,10840,1346,31,52.6,38.0,22151,2230,7171,10223,4984,686,22146,617,350,56.7,267,43.3,11357,59766,30434,581,427,143,620,346,12918,1293,2019-2020
Real Madrid,26,58.8,38.0,27693,2234,7711,12551,7671,1038,27682,769,484,62.9,285,37.1,17146,92265,47544,951,727,302,518,315,19981,1951,26,41.2,38.0,20543,2583,7110,9207,4451,530,20541,595,369,62.0,226,38.0,11264,60819,30522,604,473,131,498,360,12905,1199,2019-2020
Real Sociedad,27,56.2,38.0,24037,2340,7553,11352,5327,778,24032,591,355,60.1,234,39.6,14006,75872,40635,737,523,149,552,357,15827,1573,27,43.8,38.0,19876,2210,6594,8777,4746,694,19867,573,321,56.0,252,44.0,10620,55968,26544,546,441,158,539,299,11562,1117,2019-2020
Sevilla,26,57.9,38.0,25650,2229,7794,11678,6387,920,25643,667,413,61.9,254,38.1,14440,74929,39085,803,571,211,541,352,17430,1804,26,42.1,38.0,19982,2400,6615,8833,4755,552,19978,661,400,60.5,261,39.5,10431,55937,28346,552,452,124,573,326,11679,1123,2019-2020
Valencia,28,49.0,38.0,21847,2592,7697,9694,4654,638,21839,549,345,62.8,203,37.0,12893,70910,36309,671,491,114,521,283,14386,1367,28,51.0,38.0,23063,1945,6033,10538,6712,902,23054,590,357,60.5,232,39.3,13600,74649,39888,863,648,204,460,268,15626,1681,2019-2020
Valladolid,30,44.7,38.0,19410,2162,6607,9057,3980,480,19404,569,338,59.4,231,40.6,9985,55513,27378,510,403,110,537,324,11102,1096,30,55.3,38.0,23568,1868,5973,11723,6085,787,23560,672,433,64.4,239,35.6,13197,74264,39327,797,568,158,652,329,15342,1750,2019-2020
Villarreal,25,52.9,38.0,24137,2532,7874,11259,5231,772,24126,690,431,62.5,259,37.5,13189,71106,37620,694,518,209,601,310,16111,1472,25,47.1,38.0,21804,2106,6369,9998,5666,812,21795,602,384,63.8,218,36.2,12330,64811,32830,676,473,170,508,335,13890,1452,2019-2020
Alavés,26,42.7,38.0,18475,2174,6367,8264,4063,609,18472,489,276,56.4,213,43.6,8348,47885,24646,511,366,103,587,341,9540,1102,26,57.3,38.0,23524,2023,6609,11133,6010,864,23518,595,341,57.3,254,42.7,12837,71687,38638,714,535,173,587,392,14794,1825,2018-2019
Athletic Club,27,50.0,38.0,21553,1935,6265,10194,5320,703,21546,542,288,53.1,254,46.9,10781,59362,31442,626,533,124,522,344,13087,1434,27,50.0,38.0,21677,2176,6972,9852,5095,657,21672,646,401,62.1,245,37.9,11399,64793,34279,677,536,124,525,398,13185,1309,2018-2019
Atlético Madrid,29,49.2,38.0,23123,1928,6339,10785,6196,765,23119,572,366,64.0,205,35.8,12778,67129,34534,677,581,169,497,412,14831,1369,29,50.8,38.0,23808,2256,7066,11384,5594,638,23803,701,381,54.4,319,45.5,12723,68078,34834,662,596,112,531,465,15622,1645,2018-2019
Barcelona,30,64.4,38.0,30394,2182,7325,14901,8400,1045,30385,753,446,59.2,307,40.8,19443,96850,52422,851,840,266,456,435,23143,2095,30,35.6,38.0,18710,2299,6567,8133,4232,651,18708,492,266,54.1,226,45.9,9990,55948,27555,558,431,149,488,311,11102,1081,2018-2019
Betis,25,61.8,38.0,26762,2351,7748,12726,6515,826,26755,717,449,62.6,267,37.2,16024,89234,48124,887,705,218,569,392,19278,1622,25,38.2,38.0,17994,2061,5784,7874,4579,698,17988,544,325,59.7,219,40.3,9473,53519,27264,577,460,176,483,396,10516,1139,2018-2019
Celta Vigo,28,51.6,38.0,22889,2297,7252,10891,4967,670,22882,626,380,60.7,246,39.3,12743,68374,34962,673,588,141,499,371,14866,1278,28,48.4,38.0,21502,1931,6001,10013,5698,818,21495,563,304,54.0,258,45.8,11699,65154,33864,721,507,179,497,376,13520,1488,2018-2019
Eibar,25,54.0,38.0,22528,1611,4998,10759,6998,907,22520,592,344,58.1,248,41.9,11159,58787,28489,565,523,135,576,387,12814,1596,25,46.0,38.0,20644,2765,8817,8410,3621,574,20640,564,323,57.3,240,42.6,9346,48705,23172,459,292,143,614,397,10819,1058,2018-2019
Espanyol,25,49.4,38.0,21903,2499,7590,9658,4910,689,21899,523,318,60.8,204,39.0,12023,66105,34689,642,500,139,565,374,13752,1482,25,50.6,38.0,22224,2083,6393,10123,5959,842,22216,684,421,61.5,263,38.5,12180,70682,38150,799,670,201,511,392,14132,1572,2018-2019
Getafe,26,40.7,38.0,17357,1810,5155,7727,4688,688,17351,576,299,51.9,277,48.1,7394,42933,20707,448,383,117,589,366,8009,1121,26,59.3,38.0,23942,2119,7657,11542,4958,653,23935,617,362,58.7,255,41.3,12434,64651,32408,525,427,114,644,349,14591,1373,2018-2019
Girona,26,48.0,38.0,21363,2422,7551,9834,4221,633,21357,537,316,58.8,221,41.2,11343,59837,31729,634,487,102,502,370,13037,1303,26,52.0,38.0,22861,2037,6445,10613,6045,878,22853,636,372,58.5,264,41.5,13030,73146,38763,809,633,221,529,349,14575,1602,2018-2019
Huesca,30,44.5,38.0,19270,2109,6288,8630,4582,723,19263,592,314,53.0,278,47.0,9347,55988,28071,653,484,127,557,356,10474,1201,30,55.5,38.0,23013,2157,6857,10824,5607,817,23004,694,391,56.3,303,43.7,12510,72482,39118,768,545,180,560,409,14442,1562,2018-2019
Leganés,29,43.1,38.0,19164,1976,6160,8726,4496,632,19159,469,253,53.9,216,46.1,9754,50091,24360,447,367,98,476,304,10646,1141,29,56.9,38.0,24519,2052,7018,11921,5784,621,24515,581,354,60.9,227,39.1,13630,72819,38237,705,584,117,553,382,16119,1585,2018-2019
Levante,26,45.7,38.0,18925,2262,6322,8319,4541,688,18917,738,402,54.5,336,45.5,9156,58480,32056,709,451,175,535,429,10747,1284,26,54.3,38.0,22279,2097,6482,9992,6067,1055,22271,722,458,63.4,264,36.6,12412,70897,38827,868,675,239,503,308,13867,1542,2018-2019
Rayo Vallecano,29,48.7,38.0,20761,2337,7145,9307,4597,620,20756,848,534,63.0,314,37.0,11826,71546,37033,831,551,150,644,495,12385,1316,29,51.3,38.0,21765,1997,6057,10258,5680,878,21754,594,335,56.4,257,43.3,11743,64755,33481,660,480,178,540,394,13334,1543,2018-2019
Real Madrid,27,60.1,38.0,28079,2035,7389,13413,7527,1076,28070,756,460,60.8,295,39.0,17576,94175,47867,1009,748,301,493,356,20515,2081,27,39.9,38.0,20119,2534,7038,8853,4451,600,20111,629,384,61.0,245,39.0,10572,59592,31122,615,469,146,479,381,12379,1150,2018-2019
Real Sociedad,30,51.7,38.0,22714,2466,7645,10663,4646,660,22704,679,411,60.5,267,39.3,12418,74688,39771,695,523,134,571,466,14458,1367,30,48.3,38.0,21608,1970,6395,9916,5513,793,21605,584,336,57.5,248,42.5,11225,60435,29235,657,491,188,548,331,13244,1393,2018-2019
Sevilla,27,52.3,38.0,22828,2154,7148,9945,5989,953,22823,606,357,58.9,249,41.1,12731,68655,38134,828,590,199,486,391,14442,1792,27,47.7,38.0,21477,2377,6907,9765,5034,668,21470,513,310,60.4,203,39.6,11828,65430,34826,696,566,148,491,395,13106,1400,2018-2019
Valencia,25,47.1,38.0,21680,2095,6684,9870,5366,835,21673,589,343,58.2,246,41.8,11323,65473,34907,751,498,177,501,337,13565,1547,25,52.9,38.0,24319,2201,7084,11322,6165,769,24311,588,350,59.5,238,40.5,14035,74539,39549,791,590,159,482,360,16278,1621,2018-2019
Valladolid,28,46.8,38.0,20386,2292,6916,9021,4660,592,20379,477,294,61.6,183,38.4,10474,60429,32563,662,473,149,507,347,11933,1294,28,53.2,38.0,22717,1949,6123,11039,5804,786,22708,678,398,58.7,280,41.3,12553,71910,39412,800,607,128,569,434,14502,1631,2018-2019
Villarreal,26,48.3,38.0,21795,2184,6753,10048,5230,804,21789,603,348,57.7,255,42.3,11752,64587,34419,715,478,209,503,340,13666,1643,26,51.7,38.0,23247,2035,6768,10714,6016,858,23242,659,386,58.6,273,41.4,12774,71386,38191,753,575,158,501,394,15061,1549,2018-2019
Alavés,30,40.3,38.0,17988,2197,6320,8026,3879,560,17985,577,330,57.2,244,42.3,9107,48939,24165,454,347,118,534,403,9603,1030,30,59.7,38.0,24801,1933,6576,12237,6263,848,24791,663,396,59.7,267,40.3,14524,76253,39235,751,592,183,571,435,16638,1828,2017-2018
Athletic Club,26,49.6,38.0,21654,2134,6390,10289,5239,761,21645,611,350,57.3,261,42.7,11930,65701,33853,652,522,136,501,409,13091,1507,26,50.4,38.0,22085,2299,7360,10091,4901,693,22079,735,439,59.7,296,40.3,12401,63932,31764,666,492,152,505,444,13605,1302,2017-2018
Atlético Madrid,26,47.5,38.0,22955,2103,7018,10691,5490,740,22950,693,426,61.5,267,38.5,12659,66189,34201,703,498,169,548,448,14408,1449,26,52.5,38.0,24824,2087,6980,12139,5934,715,24820,847,470,55.5,377,44.5,14996,74627,38629,737,639,137,505,540,16461,1660,2017-2018
Barcelona,25,62.8,38.0,29326,2230,7352,14187,8054,1224,29321,973,619,63.6,354,36.4,19047,97437,53040,1025,797,312,486,465,22019,2133,25,37.2,38.0,19311,2416,6707,8561,4292,623,19309,552,323,58.5,229,41.5,10796,58913,29379,632,480,169,479,400,11689,1179,2017-2018
Betis,29,56.9,38.0,25435,2520,8051,12473,5147,585,25432,681,439,64.5,240,35.2,16808,81387,42791,736,557,177,520,381,17825,1500,29,43.1,38.0,19804,1729,5593,9351,5115,825,19801,537,324,60.3,213,39.7,11043,59758,28762,622,469,193,486,422,12328,1349,2017-2018
Celta Vigo,23,55.7,38.0,24751,2455,8023,11901,5073,708,24748,603,376,62.4,227,37.6,14630,76008,38089,724,568,165,501,428,16844,1576,23,44.3,38.0,20658,1951,6194,9486,5185,762,20653,556,338,60.8,218,39.2,11574,59881,29082,611,507,151,563,371,12694,1346,2017-2018
Eibar,27,52.0,38.0,21928,1647,5339,10665,6169,709,21925,649,352,54.2,297,45.8,11543,61027,28436,635,532,129,621,374,12591,1450,27,48.0,38.0,21036,2620,8787,8648,3822,539,21032,613,355,57.9,258,42.1,10432,51631,24591,488,296,140,559,385,11652,1040,2017-2018
Espanyol,25,46.9,38.0,21233,2154,7119,9852,4461,590,21231,596,323,54.2,272,45.6,11608,57915,28646,532,387,124,534,388,12654,1267,25,53.1,38.0,23788,2175,7081,11396,5592,702,23782,700,429,61.3,271,38.7,14203,74088,37039,706,586,144,533,445,15340,1606,2017-2018
Getafe,32,40.2,38.0,17210,1860,5642,7420,4341,572,17199,584,296,50.7,289,49.5,8099,41310,19639,374,315,104,540,408,8445,1083,32,59.8,38.0,24108,1876,7098,11953,5279,648,24104,732,456,62.3,276,37.7,13658,70037,35721,660,494,126,620,439,15350,1567,2017-2018
Girona,25,46.8,38.0,19930,1983,6509,9126,4530,658,19922,644,360,55.9,284,44.1,10354,56433,26849,590,416,119,475,369,11736,1199,25,53.2,38.0,22066,2040,6783,10770,4781,688,22061,606,366,60.4,240,39.6,12215,67430,35158,721,477,161,564,371,13933,1423,2017-2018
La Coruña,32,46.8,38.0,21028,2107,6802,9416,5051,736,21023,622,375,60.3,246,39.5,10832,59141,28899,640,451,170,461,378,12682,1463,32,53.2,38.0,23566,2138,6682,10977,6137,830,23560,679,387,57.0,292,43.0,13518,70442,36709,774,591,198,529,436,15385,1697,2017-2018
Las Palmas,36,54.7,38.0,23605,2378,7676,11346,4861,618,23597,714,449,62.9,264,37.0,14246,75170,38695,726,577,133,569,458,15716,1318,36,45.3,38.0,20457,1983,6103,9636,4967,846,20452,649,379,58.4,268,41.3,11329,61697,32067,766,504,251,513,385,12478,1391,2017-2018
Leganés,28,43.0,38.0,18879,1888,6390,8493,4251,569,18876,608,341,56.1,267,43.9,9590,50386,23931,534,389,107,559,453,10298,1099,28,57.0,38.0,24248,2008,7755,11461,5283,650,24241,698,374,53.6,323,46.3,14398,72805,37578,645,469,150,569,398,15580,1455,2017-2018
Levante,33,42.8,38.0,18695,2160,6122,8198,4610,658,18690,685,375,54.7,310,45.3,9982,56940,30528,676,459,175,572,445,10628,1276,33,57.2,38.0,24072,2019,6952,11478,5855,911,24066,626,386,61.7,239,38.2,14379,73094,38961,758,561,192,521,377,15996,1649,2017-2018
Málaga,37,44.1,38.0,19899,2074,6485,9190,4454,549,19893,586,308,52.6,278,47.4,10572,51750,23656,463,407,104,576,470,11346,1151,37,55.9,38.0,24275,2108,7265,11522,5776,757,24269,708,435,61.4,270,38.1,13805,74949,40069,777,562,164,521,472,15784,1760,2017-2018
Real Madrid,24,60.2,38.0,28115,1889,6969,13215,8217,1223,28106,752,501,66.6,251,33.4,18912,96856,50530,1131,779,312,460,394,20847,2370,24,39.8,38.0,20298,2717,7190,8806,4516,581,20294,621,369,59.4,252,40.6,11790,61940,30288,598,464,134,467,435,12807,1219,2017-2018
Real Sociedad,27,56.5,38.0,24573,2378,7539,11407,5873,827,24568,623,362,58.1,261,41.9,15068,85862,44860,883,644,183,553,447,16851,1595,27,43.5,38.0,19991,2234,6356,9349,4504,644,19984,537,309,57.5,228,42.5,11389,60562,29108,577,431,144,478,319,12127,1224,2017-2018
Sevilla,31,54.3,38.0,24591,2087,7217,11662,5987,949,24586,661,392,59.3,269,40.7,14721,72222,38333,817,592,257,499,430,16249,1805,31,45.7,38.0,21424,2295,6920,9620,5152,758,21416,685,389,56.8,296,43.2,12126,66081,33598,731,490,197,528,472,13130,1396,2017-2018
Valencia,25,48.6,38.0,22179,2141,7061,10314,5068,746,22171,699,428,61.2,271,38.8,13199,71066,36726,739,516,188,539,475,14202,1549,25,51.4,38.0,23360,2052,6732,10783,6110,773,23355,692,383,55.3,309,44.7,13821,71346,35268,728,576,178,491,436,15302,1601,2017-2018
Villarreal,32,50.4,38.0,22941,2292,7613,10767,4789,691,22936,575,328,57.0,247,43.0,12496,66374,34220,719,486,181,464,393,14905,1442,32,49.6,38.0,22743,1997,6523,10374,6080,880,22735,700,423,60.4,277,39.6,13006,68647,37081,805,559,199,510,434,14661,1570,2017-2018
Athletic Club,26,52.6,30.0,17864,1948,6765,7703,3543,468,17860,406,169,41.6,236,58.1,9576,46070,22571,302,217,87,461,350,11710,1099,26,47.4,30.0,16578,1634,5576,7007,4124,594,16577,310,174,56.1,133,42.9,9014,42622,20782,382,259,104,470,311,10237,1100,2024-2025-femenino
Atlético Madrid,23,59.1,30.0,19592,1859,5876,8824,5026,671,19590,414,189,45.7,219,52.9,11135,52742,28575,494,341,148,483,371,13386,1577,23,40.9,30.0,14789,1949,6031,5669,3224,502,14788,280,134,47.9,145,51.8,7167,35332,17424,339,221,117,416,311,8549,803,2024-2025-femenino
Barcelona,26,74.4,30.0,25465,807,3561,10864,11172,1585,25458,487,251,51.5,234,48.0,15949,68121,34221,765,542,300,413,289,19501,2581,26,25.6,30.0,11299,3145,7149,3230,1003,161,11299,241,90,37.3,151,62.7,4273,21945,10348,154,94,53,402,284,5101,268,2024-2025-femenino
Dep La Coruña,27,45.0,30.0,14813,2287,6341,6082,2535,383,14811,424,235,55.4,189,44.6,7331,39519,20634,349,205,97,506,309,8214,747,27,55.0,30.0,17361,1267,4632,7597,5298,881,17360,401,214,53.4,184,45.9,9488,48222,25152,525,341,181,481,319,10799,1483,2024-2025-femenino
Eibar,26,34.4,30.0,12043,1843,4979,4595,2576,341,12039,302,150,49.7,150,49.7,4295,22935,9719,185,164,75,481,318,4875,576,26,65.6,30.0,20059,1483,5390,9269,5574,691,20057,448,220,49.1,223,49.8,9558,50675,27239,555,356,131,506,291,13005,1637,2024-2025-femenino
Espanyol,26,35.2,30.0,11814,1762,4790,4447,2755,441,11812,331,153,46.2,177,53.5,4671,27609,13216,303,212,97,553,312,5017,610,26,64.8,30.0,18820,1596,5923,8451,4598,658,18814,433,234,54.0,197,45.5,10321,48770,25326,419,261,136,526,384,12212,1342,2024-2025-femenino
Granada,24,53.7,30.0,16720,1650,5735,7263,3884,584,16716,381,195,51.2,183,48.0,8360,40406,19574,425,236,94,426,296,10072,1074,24,46.3,30.0,15325,1855,5785,6243,3445,539,15322,440,206,46.8,233,53.0,7412,39047,18951,368,218,123,500,315,8790,1012,2024-2025-femenino
Levante,25,51.1,30.0,17156,1947,6660,6946,3678,485,17154,412,217,52.7,193,46.8,8567,40549,20220,363,203,100,540,349,10503,1070,25,48.9,30.0,16838,1579,5315,7280,4403,683,16834,501,227,45.3,271,54.1,8758,46619,22189,426,265,130,478,329,10205,1206,2024-2025-femenino
Levante Planas,27,50.7,30.0,16685,1672,5463,7052,4351,547,16679,457,241,52.7,214,46.8,8750,46020,22422,447,319,156,580,424,10112,1153,27,49.3,30.0,16629,1876,6187,7042,3549,510,16627,373,185,49.6,187,50.1,8368,39806,19190,339,212,106,531,317,9930,907,2024-2025-femenino
Madrid CFF,26,49.4,30.0,15867,2005,6762,6223,3031,546,15866,297,145,48.8,151,50.8,7634,39837,20352,410,202,127,456,276,9199,877,26,50.6,30.0,16637,1522,4781,7445,4585,608,16633,374,176,47.1,198,52.9,8957,42418,20397,374,310,129,570,331,9976,1140,2024-2025-femenino
Real Betis,26,46.9,30.0,15026,2086,6178,6018,2957,402,15024,390,177,45.4,213,54.6,6913,33697,15324,271,226,78,507,388,8378,869,26,53.1,30.0,17106,1481,5366,7003,4919,825,17100,447,226,50.6,221,49.4,8880,45010,21487,464,307,198,503,351,10399,1274,2024-2025-femenino
Real Madrid,30,60.6,30.0,19817,1371,4908,8919,6171,1095,19809,540,305,56.5,234,43.3,11573,62448,32207,682,412,248,485,332,13699,1823,30,39.4,30.0,14373,2477,6479,5449,2594,376,14368,286,131,45.8,154,53.8,6798,33527,16845,266,196,75,445,296,8062,697,2024-2025-femenino
Real Sociedad,26,58.4,30.0,18706,1572,5751,8618,4492,615,18704,338,175,51.8,161,47.6,10186,49877,24705,416,307,117,467,385,12527,1331,26,41.6,30.0,14709,1967,6043,5426,3407,537,14703,415,202,48.7,210,50.6,7344,36995,16752,331,216,116,513,363,8371,911,2024-2025-femenino
Sevilla,22,43.2,30.0,14223,1804,5867,6035,2490,333,14222,389,188,48.3,199,51.2,6724,32957,15955,298,204,84,470,306,7560,713,22,56.8,30.0,17828,1460,5597,8073,4316,586,17825,433,244,56.4,189,43.6,9553,44526,21789,430,265,135,521,355,11318,1234,2024-2025-femenino
UDG Tenerife,28,44.6,30.0,14544,2005,5957,5763,2976,476,14540,362,178,49.2,184,50.8,6519,34474,16365,309,172,101,459,319,7697,834,28,55.4,30.0,17503,1525,5557,7593,4484,551,17499,354,189,53.4,164,46.3,8733,45822,23085,465,309,124,471,336,10754,1205,2024-2025-femenino
Valencia,30,40.8,30.0,13512,1759,5494,5364,2838,398,13508,318,146,45.9,171,53.8,6251,34098,17041,335,225,78,483,291,6802,778,30,59.2,30.0,17993,1561,5276,7939,4952,668,17986,512,262,51.2,248,48.4,9810,50023,26145,517,357,129,437,422,11544,1493,2024-2025-femenino
