Squad,Unnamed: 1_level_0 # Pl_for,Unnamed: 2_level_0 90s_for,Standard Gls_for,Standard Sh_for,Standard SoT_for,Standard SoT%_for,Standard Sh/90_for,Standard SoT/90_for,Standard G/Sh_for,Standard G/SoT_for,Standard Dist_for,Standard FK_for,Standard PK_for,Standard PKatt_for,Expected xG_for,Expected npxG_for,Expected npxG/Sh_for,Expected G-xG_for,Expected np:G-xG_for,Unnamed: 1_level_0 # Pl_against,Unnamed: 2_level_0 90s_against,Standard Gls_against,Standard Sh_against,Standard SoT_against,Standard SoT%_against,Standard Sh/90_against,Standard SoT/90_against,Standard G/Sh_against,Standard G/SoT_against,Standard Dist_against,Standard FK_against,Standard PK_against,Standard PKatt_against,Expected xG_against,Expected npxG_against,Expected npxG/Sh_against,Expected G-xG_against,Expected np:G-xG_against,Season
Real Madrid,26,38.0,69,552,222,40.2,14.53,5.84,0.11,0.26,18.0,18,11,11,67.9,59.2,0.11,1.1,-1.2,26,38.0,25,335,108,32.2,8.82,2.84,0.07,0.21,18.1,12,2,2,33.3,31.7,0.1,-8.3,-8.7,2019-2020
Real Sociedad,27,38.0,54,424,139,32.8,11.16,3.66,0.12,0.36,17.7,12,4,5,48.9,45.1,0.11,5.1,4.9,27,38.0,47,385,136,35.3,10.13,3.58,0.1,0.29,18.2,13,7,9,43.0,36.0,0.1,4.0,4.0,2019-2020
Sevilla,26,38.0,53,484,164,33.9,12.74,4.32,0.1,0.28,16.7,17,7,7,53.2,47.9,0.1,-0.2,-1.9,26,38.0,33,384,113,29.4,10.11,2.97,0.08,0.27,19.7,31,3,4,36.1,33.0,0.09,-3.1,-3.0,2019-2020
Valencia,28,38.0,45,331,111,33.5,8.71,2.92,0.12,0.36,18.0,18,5,8,43.3,37.2,0.11,1.7,2.8,28,38.0,52,563,181,32.1,14.82,4.76,0.08,0.25,18.5,37,7,9,56.0,49.1,0.09,-4.0,-4.1,2019-2020
Valladolid,30,38.0,31,369,116,31.4,9.71,3.05,0.08,0.24,20.0,29,3,6,36.6,32.1,0.09,-5.6,-4.1,30,38.0,43,465,131,28.2,12.24,3.45,0.08,0.27,18.7,22,7,8,54.5,48.4,0.11,-11.5,-12.4,2019-2020
Villarreal,25,38.0,62,483,160,33.1,12.71,4.21,0.11,0.33,18.2,15,10,11,63.6,55.2,0.12,-1.6,-3.2,25,38.0,47,474,155,32.7,12.47,4.08,0.08,0.25,18.4,23,8,9,46.3,39.3,0.09,0.7,-0.3,2019-2020
Alavés,26,38.0,39,426,116,27.2,11.21,3.05,0.09,0.32,18.3,16,2,3,41.1,38.8,0.09,-2.1,-1.8,26,38.0,48,496,161,32.5,13.05,4.24,0.08,0.26,17.6,26,6,6,53.2,48.6,0.1,-5.2,-6.6,2018-2019
Athletic Club,27,38.0,39,380,132,34.7,10.0,3.47,0.09,0.26,17.1,6,5,7,43.4,37.8,0.1,-4.4,-3.8,27,38.0,45,392,115,29.3,10.32,3.03,0.1,0.35,18.6,25,5,5,45.7,41.8,0.11,-0.7,-1.8,2018-2019
Atlético Madrid,29,38.0,53,440,155,35.2,11.58,4.08,0.11,0.32,18.3,21,3,4,47.3,44.1,0.1,5.7,5.9,29,38.0,27,428,131,30.6,11.26,3.45,0.05,0.17,18.6,22,5,5,41.9,38.1,0.09,-14.9,-16.1,2018-2019
Barcelona,30,38.0,88,551,242,43.9,14.5,6.37,0.15,0.33,18.0,50,8,9,75.8,68.7,0.13,12.2,11.3,30,38.0,35,410,128,31.2,10.79,3.37,0.08,0.26,17.4,17,2,2,45.3,43.7,0.11,-10.3,-10.7,2018-2019
Betis,25,38.0,43,436,156,35.8,11.47,4.11,0.09,0.24,18.6,31,5,7,47.1,41.5,0.1,-4.1,-3.5,25,38.0,52,422,150,35.5,11.11,3.95,0.11,0.32,18.2,26,4,5,49.4,45.5,0.11,2.6,2.5,2018-2019
Celta Vigo,28,38.0,52,445,152,34.2,11.71,4.0,0.1,0.3,18.0,22,7,7,46.5,41.2,0.09,5.5,3.8,28,38.0,61,473,161,34.0,12.45,4.24,0.12,0.34,18.1,15,6,7,60.9,55.4,0.12,0.1,-0.4,2018-2019
Eibar,25,38.0,46,524,147,28.1,13.79,3.87,0.07,0.27,17.4,20,7,8,54.8,48.6,0.1,-8.8,-9.6,25,38.0,49,330,128,38.8,8.68,3.37,0.14,0.36,17.3,10,3,4,45.9,42.7,0.13,3.1,3.3,2018-2019
Espanyol,25,38.0,43,470,154,32.8,12.37,4.05,0.08,0.25,19.0,25,4,4,48.9,45.8,0.1,-5.9,-6.8,25,38.0,48,509,159,31.2,13.39,4.18,0.08,0.26,17.7,20,6,8,53.8,47.5,0.1,-5.8,-5.5,2018-2019
Getafe,26,38.0,47,395,122,30.9,10.39,3.21,0.1,0.34,17.1,13,6,6,46.2,41.6,0.11,0.8,-0.6,26,38.0,33,372,128,34.4,9.79,3.37,0.08,0.23,17.2,11,4,7,43.6,38.7,0.11,-10.6,-9.7,2018-2019
Girona,26,38.0,37,392,137,34.9,10.32,3.61,0.08,0.23,18.3,21,6,6,43.5,39.3,0.1,-6.5,-8.3,26,38.0,51,517,198,38.3,13.61,5.21,0.08,0.22,18.4,18,8,8,52.7,46.9,0.09,-1.7,-3.9,2018-2019
Huesca,30,38.0,43,463,139,30.0,12.18,3.66,0.08,0.27,17.9,19,6,7,50.8,45.4,0.1,-7.8,-8.4,30,38.0,62,459,165,35.9,12.08,4.34,0.12,0.32,17.7,28,9,9,60.2,53.1,0.12,1.8,-0.1,2018-2019
Leganés,29,38.0,36,414,128,30.9,10.89,3.37,0.08,0.26,17.6,14,3,5,40.6,36.8,0.09,-4.6,-3.8,29,38.0,42,405,130,32.1,10.66,3.42,0.1,0.3,19.2,21,3,4,41.2,37.9,0.1,0.8,1.1,2018-2019
Levante,26,38.0,56,435,154,35.4,11.45,4.05,0.12,0.33,18.8,32,5,7,53.9,48.4,0.11,2.1,2.6,26,38.0,64,682,217,31.8,17.95,5.71,0.08,0.26,17.9,22,8,9,76.2,69.1,0.1,-12.2,-13.1,2018-2019
Rayo Vallecano,29,38.0,40,453,144,31.8,11.92,3.79,0.08,0.24,19.3,22,5,5,48.7,44.8,0.1,-8.7,-9.8,29,38.0,69,437,171,39.1,11.5,4.5,0.14,0.36,17.3,25,7,11,60.0,51.5,0.12,9.0,10.5,2018-2019
Real Madrid,27,38.0,61,585,203,34.7,15.39,5.34,0.09,0.26,17.7,19,9,9,66.7,60.2,0.11,-5.7,-8.2,27,38.0,46,380,131,34.5,10.0,3.45,0.11,0.31,18.3,15,6,8,47.1,41.7,0.12,-1.1,-1.7,2018-2019
Real Sociedad,30,38.0,44,418,133,31.8,11.0,3.5,0.09,0.27,18.5,16,8,10,49.7,42.2,0.1,-5.7,-6.2,30,38.0,44,443,139,31.4,11.66,3.66,0.09,0.3,17.8,18,2,3,48.6,46.1,0.11,-4.6,-4.1,2018-2019
Sevilla,27,38.0,60,524,167,31.9,13.79,4.39,0.1,0.33,17.2,11,5,6,66.6,61.8,0.12,-6.6,-6.8,27,38.0,47,452,149,33.0,11.89,3.92,0.09,0.28,18.9,20,6,7,45.4,39.9,0.09,1.6,1.1,2018-2019
Valencia,25,38.0,50,470,157,33.4,12.37,4.13,0.1,0.29,17.3,18,5,7,60.7,55.2,0.12,-10.7,-10.2,25,38.0,33,476,144,30.3,12.53,3.79,0.05,0.18,19.6,31,7,8,42.9,36.7,0.08,-9.9,-10.7,2018-2019
Valladolid,28,38.0,31,406,125,30.8,10.68,3.29,0.07,0.22,19.5,24,4,7,41.1,35.6,0.09,-10.1,-8.6,28,38.0,50,483,146,30.2,12.71,3.84,0.09,0.3,17.5,18,6,9,58.5,51.7,0.11,-8.5,-7.7,2018-2019
Villarreal,26,38.0,47,488,169,34.6,12.84,4.45,0.09,0.26,17.3,8,3,6,53.9,50.0,0.1,-6.9,-6.0,26,38.0,49,549,181,33.0,14.45,4.76,0.08,0.25,17.8,20,3,5,55.0,51.1,0.09,-6.0,-5.1,2018-2019
Alavés,30,38.0,40,389,134,34.4,10.24,3.53,0.1,0.29,19.3,22,1,3,38.5,36.1,0.1,1.5,2.9,30,38.0,48,523,163,31.2,13.76,4.29,0.08,0.25,18.7,31,7,10,55.9,48.6,0.1,-7.9,-7.6,2017-2018
Athletic Club,26,38.0,39,421,142,33.7,11.08,3.74,0.08,0.23,16.7,13,6,8,49.7,43.8,0.11,-10.7,-10.8,26,38.0,46,463,160,34.6,12.18,4.21,0.09,0.27,19.3,33,3,6,50.3,45.6,0.1,-4.3,-2.6,2017-2018
Atlético Madrid,26,38.0,57,401,147,36.7,10.55,3.87,0.13,0.36,18.5,15,4,5,50.2,46.3,0.12,6.8,6.7,26,38.0,21,440,125,28.4,11.58,3.29,0.05,0.16,20.0,28,1,4,35.8,32.6,0.08,-14.8,-12.6,2017-2018
Barcelona,25,38.0,96,575,264,45.9,15.13,6.95,0.16,0.35,17.0,60,3,5,83.5,80.1,0.15,12.5,12.9,25,38.0,29,442,131,29.6,11.63,3.45,0.06,0.21,19.3,16,2,2,41.9,40.5,0.09,-12.9,-13.5,2017-2018
Betis,29,38.0,56,415,160,38.6,10.92,4.21,0.13,0.34,19.5,22,2,3,46.0,43.7,0.11,10.0,10.3,29,38.0,57,451,152,33.7,11.87,4.0,0.12,0.36,17.9,19,3,4,49.0,45.8,0.1,8.0,8.2,2017-2018
Celta Vigo,23,38.0,57,444,157,35.4,11.68,4.13,0.12,0.35,17.9,33,2,3,55.0,52.6,0.12,2.0,2.4,23,38.0,59,447,157,35.1,11.76,4.13,0.12,0.35,17.0,13,4,5,55.3,51.4,0.12,3.7,3.6,2017-2018
Eibar,27,38.0,43,467,131,28.1,12.29,3.45,0.09,0.31,18.6,23,2,3,40.9,38.6,0.08,2.1,2.4,27,38.0,47,319,130,40.8,8.39,3.42,0.13,0.33,18.0,18,4,4,44.4,41.3,0.13,2.6,1.7,2017-2018
Espanyol,25,38.0,33,410,128,31.2,10.79,3.37,0.08,0.24,18.7,17,2,3,41.1,38.7,0.1,-8.1,-7.7,25,38.0,40,480,158,32.9,12.63,4.16,0.08,0.23,18.6,21,4,6,52.3,47.5,0.1,-12.3,-11.5,2017-2018
Getafe,32,38.0,41,361,122,33.8,9.5,3.21,0.1,0.3,18.9,16,5,12,48.2,38.6,0.11,-7.2,-2.6,32,38.0,33,384,127,33.1,10.11,3.34,0.08,0.24,19.1,23,2,4,39.7,36.6,0.1,-6.7,-5.6,2017-2018
Girona,25,38.0,50,447,149,33.3,11.76,3.92,0.1,0.3,19.0,27,6,8,50.6,44.4,0.1,-0.6,-0.4,25,38.0,56,423,171,40.4,11.13,4.5,0.12,0.3,18.9,28,4,5,50.4,46.5,0.11,5.6,5.5,2017-2018
La Coruña,32,38.0,38,462,133,28.8,12.16,3.5,0.08,0.26,18.0,14,3,5,51.6,47.7,0.1,-13.6,-12.7,32,38.0,73,520,174,33.5,13.68,4.58,0.13,0.4,18.3,26,4,5,58.7,54.8,0.11,14.3,14.2,2017-2018
Las Palmas,36,38.0,24,405,119,29.4,10.66,3.13,0.04,0.15,20.6,38,6,8,38.5,32.3,0.08,-14.5,-14.3,36,38.0,73,525,210,40.0,13.82,5.53,0.13,0.32,17.1,22,5,5,70.5,66.6,0.13,2.5,1.4,2017-2018
Leganés,28,38.0,32,393,125,31.8,10.34,3.29,0.08,0.24,19.3,13,2,3,39.9,37.6,0.1,-7.9,-7.6,28,38.0,51,420,149,35.5,11.05,3.92,0.11,0.3,19.0,22,6,7,47.6,42.2,0.1,3.4,2.8,2017-2018
Levante,33,38.0,43,405,119,29.4,10.66,3.13,0.09,0.32,19.4,26,5,5,44.7,40.8,0.1,-1.7,-2.8,33,38.0,55,533,177,33.2,14.03,4.66,0.09,0.28,17.7,24,5,6,63.6,58.8,0.11,-8.6,-8.8,2017-2018
Málaga,37,38.0,23,397,108,27.2,10.45,2.84,0.05,0.18,18.7,14,4,6,38.4,33.7,0.09,-15.4,-14.7,37,38.0,61,453,163,36.0,11.92,4.29,0.12,0.34,18.3,17,6,7,59.4,53.8,0.12,1.6,1.2,2017-2018
Real Madrid,24,38.0,91,689,267,38.8,18.13,7.03,0.12,0.31,17.3,28,8,10,85.4,77.5,0.12,5.6,5.5,24,38.0,42,391,140,35.8,10.29,3.68,0.1,0.29,18.6,17,2,4,43.2,40.6,0.11,-1.2,-0.6,2017-2018
Real Sociedad,27,38.0,64,516,165,32.0,13.58,4.34,0.12,0.36,18.7,23,4,5,53.7,49.7,0.1,10.3,10.3,27,38.0,58,381,142,37.3,10.03,3.74,0.14,0.37,18.1,19,6,8,50.5,44.1,0.12,7.5,7.9,2017-2018
Sevilla,31,38.0,48,511,174,34.1,13.45,4.58,0.09,0.25,17.7,18,4,5,59.5,55.7,0.11,-11.5,-11.7,31,38.0,57,463,144,31.1,12.18,3.79,0.11,0.36,18.7,25,5,8,54.4,48.1,0.11,2.6,3.9,2017-2018
Valencia,25,38.0,63,473,175,37.0,12.45,4.61,0.12,0.31,18.7,26,8,8,56.0,49.8,0.11,7.0,5.2,25,38.0,38,481,159,33.1,12.66,4.18,0.07,0.22,19.2,35,3,5,48.3,44.4,0.09,-10.3,-9.4,2017-2018
Villarreal,32,38.0,56,470,162,34.5,12.37,4.26,0.11,0.32,19.3,15,4,5,53.3,49.3,0.11,2.7,2.7,32,38.0,50,512,149,29.1,13.47,3.92,0.09,0.3,18.4,26,5,8,53.4,47.2,0.09,-3.4,-2.2,2017-2018
Athletic Club,26,30.0,38,284,96,33.8,9.47,3.2,0.12,0.35,16.2,6,4,4,34.5,31.6,0.11,3.5,2.4,26,30.0,29,363,124,34.2,12.1,4.13,0.08,0.23,17.8,12,1,1,32.0,31.3,0.09,-3.0,-3.3,2024-2025-femenino
Atlético Madrid,23,30.0,46,390,157,40.3,13.0,5.23,0.11,0.28,16.5,9,2,2,41.4,39.9,0.11,4.6,4.1,23,30.0,22,340,101,29.7,11.33,3.37,0.06,0.21,19.0,10,1,1,28.3,27.6,0.08,-6.3,-6.6,2024-2025-femenino
Barcelona,26,30.0,127,876,321,36.6,29.2,10.7,0.14,0.37,16.2,16,7,7,109.0,103.9,0.12,18.0,16.1,26,30.0,16,129,47,36.4,4.3,1.57,0.12,0.34,21.3,2,0,0,12.7,12.7,0.1,3.3,3.3,2024-2025-femenino
Dep La Coruña,27,30.0,26,287,114,39.7,9.57,3.8,0.09,0.22,20.0,12,1,2,25.2,23.6,0.08,0.8,1.4,27,30.0,47,493,181,36.7,16.43,6.03,0.09,0.25,17.2,12,1,1,50.9,50.1,0.11,-3.9,-4.1,2024-2025-femenino
Eibar,26,30.0,24,231,80,34.6,7.7,2.67,0.09,0.26,20.2,7,3,4,22.2,19.3,0.08,1.8,1.7,26,30.0,41,418,146,34.9,13.93,4.87,0.09,0.27,17.9,8,2,2,43.9,42.4,0.1,-2.9,-3.4,2024-2025-femenino
Espanyol,26,30.0,28,299,93,31.1,9.97,3.1,0.09,0.29,18.9,10,1,2,27.1,25.6,0.09,0.9,1.4,26,30.0,48,421,148,35.2,14.03,4.93,0.1,0.3,18.0,12,4,6,48.8,44.3,0.11,-0.8,-0.3,2024-2025-femenino
Granada,24,30.0,41,370,110,29.7,12.33,3.67,0.1,0.34,17.5,6,4,4,35.5,32.6,0.09,5.5,4.4,24,30.0,43,330,139,42.1,11.0,4.63,0.12,0.29,16.8,4,2,3,42.6,40.4,0.13,0.4,0.6,2024-2025-femenino
Levante,25,30.0,30,299,119,39.8,9.97,3.97,0.09,0.24,17.8,5,2,2,27.6,26.2,0.09,2.4,1.8,25,30.0,45,402,135,33.6,13.4,4.5,0.11,0.33,17.0,9,1,4,48.1,45.1,0.12,-3.1,-1.1,2024-2025-femenino
Levante Planas,27,30.0,24,327,114,34.9,10.9,3.8,0.06,0.17,19.5,16,5,6,34.6,30.2,0.09,-10.6,-11.2,27,30.0,44,286,105,36.7,9.53,3.5,0.15,0.4,16.8,6,2,2,32.7,31.2,0.11,11.3,10.8,2024-2025-femenino
Madrid CFF,26,30.0,36,354,127,35.9,11.8,4.23,0.1,0.28,19.1,5,1,1,34.1,33.4,0.1,1.9,1.6,26,30.0,61,420,144,34.3,14.0,4.8,0.14,0.4,18.9,13,4,4,41.5,38.7,0.09,19.5,18.3,2024-2025-femenino
Real Betis,26,30.0,23,262,91,34.7,8.73,3.03,0.08,0.23,19.0,6,2,2,22.8,21.4,0.08,0.2,-0.4,26,30.0,64,520,181,34.8,17.33,6.03,0.11,0.33,18.1,12,5,6,56.5,51.9,0.1,7.5,7.1,2024-2025-femenino
Real Madrid,30,30.0,83,593,225,37.9,19.77,7.5,0.13,0.35,17.4,6,4,8,76.1,70.0,0.12,6.9,9.0,30,30.0,25,229,78,34.1,7.63,2.6,0.09,0.26,19.2,9,5,5,22.1,18.4,0.08,2.9,1.6,2024-2025-femenino
Real Sociedad,26,30.0,38,379,140,36.9,12.63,4.67,0.1,0.26,17.6,17,1,2,37.1,35.7,0.1,0.9,1.3,26,30.0,43,328,124,37.8,10.93,4.13,0.11,0.3,18.3,6,6,6,38.4,34.1,0.11,4.6,2.9,2024-2025-femenino
Sevilla,22,30.0,31,283,95,33.6,9.43,3.17,0.11,0.32,20.0,12,1,1,32.2,31.4,0.12,-1.2,-1.4,22,30.0,47,385,156,40.5,12.83,5.2,0.12,0.29,18.4,12,1,3,38.4,36.2,0.1,8.6,9.8,2024-2025-femenino
UDG Tenerife,28,30.0,39,304,121,39.8,10.13,4.03,0.12,0.3,18.6,14,3,4,32.5,29.6,0.1,6.5,6.4,28,30.0,36,410,131,32.0,13.67,4.37,0.08,0.25,20.0,20,3,4,36.6,33.7,0.09,-0.6,-0.7,2024-2025-femenino
Valencia,30,30.0,23,329,102,31.0,10.97,3.4,0.06,0.21,21.2,14,2,4,25.4,22.4,0.07,-2.4,-1.4,30,30.0,46,393,165,42.0,13.1,5.5,0.1,0.25,17.9,14,5,7,44.0,38.7,0.1,2.0,2.3,2024-2025-femenino
