Squad,Unnamed: 1_level_0 # Pl_for,Unnamed: 2_level_0 Age_for,Unnamed: 3_level_0 Poss_for,Playing Time MP_for,Playing Time Starts_for,Playing Time Min_for,Playing Time 90s_for,Performance Gls_for,Performance Ast_for,Performance G+A_for,Performance G-PK_for,Performance PK_for,Performance PKatt_for,Performance CrdY_for,Performance CrdR_for,Expected xG_for,Expected npxG_for,Expected xAG_for,Expected npxG+xAG_for,Progression PrgC_for,Progression PrgP_for,Per 90 Minutes Gls_for,Per 90 Minutes Ast_for,Per 90 Minutes G+A_for,Per 90 Minutes G-PK_for,Per 90 Minutes G+A-PK_for,Per 90 Minutes xG_for,Per 90 Minutes xAG_for,Per 90 Minutes xG+xAG_for,Per 90 Minutes npxG_for,Per 90 Minutes npxG+xAG_for,Unnamed: 1_level_0 # Pl_against,Unnamed: 2_level_0 Age_against,Unnamed: 3_level_0 Poss_against,Playing Time MP_against,Playing Time Starts_against,Playing Time Min_against,Playing Time 90s_against,Performance Gls_against,Performance Ast_against,Performance G+A_against,Performance G-PK_against,Performance PK_against,Performance PKatt_against,Performance CrdY_against,Performance CrdR_against,Expected xG_against,Expected npxG_against,Expected xAG_against,Expected npxG+xAG_against,Progression PrgC_against,Progression PrgP_against,Per 90 Minutes Gls_against,Per 90 Minutes Ast_against,Per 90 Minutes G+A_against,Per 90 Minutes G-PK_against,Per 90 Minutes G+A-PK_against,Per 90 Minutes xG_against,Per 90 Minutes xAG_against,Per 90 Minutes xG+xAG_against,Per 90 Minutes npxG_against,Per 90 Minutes npxG+xAG_against,Season
Atlético Madrid,29,26.4,49.2,38,418,3420,38.0,53,36,89,50,3,4,103,5,47.3,44.1,35.3,79.5,677,1386,1.39,0.95,2.34,1.32,2.26,1.24,0.93,2.17,1.16,2.09,29,27.0,50.8,38,418,3420,38.0,27,15,42,22,5,5,95,3,41.9,38.1,29.2,67.3,662,1651,0.71,0.39,1.11,0.58,0.97,1.1,0.77,1.87,1.0,1.77,2018-2019
Barcelona,30,27.7,64.4,38,418,3420,38.0,88,61,149,80,8,9,77,2,75.8,68.7,55.8,124.6,851,2110,2.32,1.61,3.92,2.11,3.71,1.99,1.47,3.46,1.81,3.28,30,26.8,35.6,38,418,3420,38.0,35,25,60,33,2,2,102,5,45.3,43.7,34.3,78.0,558,1092,0.92,0.66,1.58,0.87,1.53,1.19,0.9,2.09,1.15,2.05,2018-2019
Betis,25,26.7,61.8,38,418,3420,38.0,43,30,73,38,5,7,89,1,47.1,41.5,32.9,74.4,887,1631,1.13,0.79,1.92,1.0,1.79,1.24,0.87,2.1,1.09,1.96,25,26.8,38.2,38,418,3420,38.0,52,42,94,48,4,5,123,7,49.4,45.5,37.2,82.7,577,1153,1.37,1.11,2.47,1.26,2.37,1.3,0.98,2.28,1.2,2.18,2018-2019
Celta Vigo,28,25.5,51.6,38,418,3420,38.0,52,37,89,45,7,7,84,6,46.5,41.2,33.6,74.8,673,1288,1.37,0.97,2.34,1.18,2.16,1.22,0.88,2.11,1.08,1.97,28,26.9,48.4,38,418,3420,38.0,61,41,102,55,6,7,89,2,60.9,55.4,43.5,98.9,721,1503,1.61,1.08,2.68,1.45,2.53,1.6,1.14,2.75,1.46,2.6,2018-2019
Eibar,25,28.5,54.0,38,418,3420,38.0,46,26,72,39,7,8,82,2,54.8,48.6,36.7,85.3,565,1619,1.21,0.68,1.89,1.03,1.71,1.44,0.96,2.41,1.28,2.24,25,26.8,46.0,38,418,3420,38.0,49,39,88,46,3,4,76,2,45.9,42.7,37.2,79.9,459,1070,1.29,1.03,2.32,1.21,2.24,1.21,0.98,2.19,1.12,2.1,2018-2019
Espanyol,25,27.7,49.4,38,418,3420,38.0,43,26,69,39,4,4,92,2,48.9,45.8,33.8,79.6,642,1495,1.13,0.68,1.82,1.03,1.71,1.29,0.89,2.18,1.21,2.1,25,26.8,50.6,38,418,3420,38.0,48,26,74,42,6,8,111,6,53.8,47.5,35.9,83.4,799,1585,1.26,0.68,1.95,1.11,1.79,1.42,0.94,2.36,1.25,2.2,2018-2019
Getafe,26,27.5,40.7,38,418,3420,38.0,47,34,81,41,6,6,111,7,46.2,41.6,32.9,74.4,448,1131,1.24,0.89,2.13,1.08,1.97,1.22,0.87,2.08,1.09,1.96,26,26.8,59.3,38,418,3420,38.0,33,18,51,29,4,7,109,5,43.6,38.7,29.8,68.5,525,1385,0.87,0.47,1.34,0.76,1.24,1.15,0.78,1.93,1.02,1.8,2018-2019
Girona,26,26.6,48.0,38,418,3420,38.0,37,23,60,31,6,6,83,4,43.5,39.3,29.3,68.6,634,1316,0.97,0.61,1.58,0.82,1.42,1.14,0.77,1.91,1.04,1.81,26,27.1,52.0,38,418,3420,38.0,51,34,85,43,8,8,116,7,52.7,46.9,38.0,84.9,809,1624,1.34,0.89,2.24,1.13,2.03,1.39,1.0,2.39,1.23,2.23,2018-2019
Huesca,30,26.7,44.5,38,418,3420,38.0,43,28,71,37,6,7,114,3,50.8,45.4,34.6,80.0,653,1209,1.13,0.74,1.87,0.97,1.71,1.34,0.91,2.25,1.19,2.1,30,26.6,55.5,38,418,3420,38.0,62,46,108,53,9,9,86,4,60.2,53.1,43.1,96.3,768,1576,1.63,1.21,2.84,1.39,2.61,1.58,1.13,2.72,1.4,2.53,2018-2019
Leganés,29,26.6,43.1,38,418,3420,38.0,36,25,61,33,3,5,106,4,40.6,36.8,28.1,64.9,447,1153,0.95,0.66,1.61,0.87,1.53,1.07,0.74,1.81,0.97,1.71,29,26.8,56.9,38,418,3420,38.0,42,27,69,39,3,4,90,3,41.2,37.9,28.6,66.5,705,1596,1.11,0.71,1.82,1.03,1.74,1.08,0.75,1.84,1.0,1.75,2018-2019
Levante,26,26.3,45.7,38,418,3420,38.0,56,39,95,51,5,7,112,7,53.9,48.4,38.5,86.9,709,1295,1.47,1.03,2.5,1.34,2.37,1.42,1.01,2.43,1.27,2.29,26,26.9,54.3,38,418,3420,38.0,64,41,105,56,8,9,92,7,76.2,69.1,51.4,120.4,868,1553,1.68,1.08,2.76,1.47,2.55,2.01,1.35,3.36,1.82,3.17,2018-2019
Rayo Vallecano,29,26.6,48.7,38,418,3420,38.0,40,24,64,35,5,5,106,8,48.7,44.8,33.0,77.7,831,1326,1.05,0.63,1.68,0.92,1.55,1.28,0.87,2.15,1.18,2.05,29,26.9,51.3,38,418,3420,38.0,69,51,120,62,7,11,73,3,60.0,51.5,41.0,92.5,660,1557,1.82,1.34,3.16,1.63,2.97,1.58,1.08,2.66,1.36,2.43,2018-2019
Real Madrid,27,27.1,60.1,38,418,3420,38.0,61,39,100,52,9,9,83,6,66.7,60.2,49.9,110.1,1009,2094,1.61,1.03,2.63,1.37,2.39,1.76,1.31,3.07,1.58,2.9,27,26.8,39.9,38,418,3420,38.0,46,32,78,40,6,8,93,3,47.1,41.7,33.0,74.7,615,1158,1.21,0.84,2.05,1.05,1.89,1.24,0.87,2.11,1.1,1.97,2018-2019
Real Sociedad,30,24.9,51.7,38,418,3420,38.0,44,27,71,36,8,10,82,4,49.7,42.2,33.0,75.2,695,1381,1.16,0.71,1.87,0.95,1.66,1.31,0.87,2.18,1.11,1.98,30,26.9,48.3,38,418,3420,38.0,44,30,74,42,2,3,107,3,48.6,46.1,34.2,80.2,657,1407,1.16,0.79,1.95,1.11,1.89,1.28,0.9,2.18,1.21,2.11,2018-2019
Sevilla,27,27.9,52.3,38,418,3420,38.0,60,47,107,55,5,6,118,6,66.6,61.8,49.3,111.1,828,1804,1.58,1.24,2.82,1.45,2.68,1.75,1.3,3.05,1.63,2.92,27,27.0,47.7,38,418,3420,38.0,47,29,76,41,6,7,99,3,45.4,39.9,31.2,71.1,696,1407,1.24,0.76,2.0,1.08,1.84,1.19,0.82,2.01,1.05,1.87,2018-2019
Valencia,25,26.4,47.1,38,418,3420,38.0,50,38,88,45,5,7,90,3,60.7,55.2,46.7,101.9,751,1561,1.32,1.0,2.32,1.18,2.18,1.6,1.23,2.83,1.45,2.68,25,27.3,52.9,38,418,3420,38.0,33,19,52,26,7,8,113,4,42.9,36.7,26.7,63.5,791,1632,0.87,0.5,1.37,0.68,1.18,1.13,0.7,1.83,0.97,1.67,2018-2019
Valladolid,28,27.4,46.8,38,418,3420,38.0,31,19,50,27,4,7,92,0,41.1,35.6,26.7,62.3,662,1299,0.82,0.5,1.32,0.71,1.21,1.08,0.7,1.78,0.94,1.64,28,26.9,53.2,38,418,3420,38.0,50,36,86,44,6,9,106,5,58.5,51.7,43.1,94.8,800,1642,1.32,0.95,2.26,1.16,2.11,1.54,1.14,2.68,1.36,2.5,2018-2019
Villarreal,26,27.1,48.3,38,418,3420,38.0,47,34,81,44,3,6,118,3,53.9,50.0,39.0,89.0,715,1648,1.24,0.89,2.13,1.16,2.05,1.42,1.03,2.45,1.31,2.34,26,26.8,51.7,38,418,3420,38.0,49,32,81,46,3,5,84,2,55.0,51.1,41.0,92.1,753,1560,1.29,0.84,2.13,1.21,2.05,1.45,1.08,2.53,1.34,2.42,2018-2019
Alavés,30,25.5,40.3,38,418,3420,38.0,40,31,71,39,1,3,109,4,38.5,36.1,27.7,63.8,454,1045,1.05,0.82,1.87,1.03,1.84,1.01,0.73,1.74,0.95,1.68,30,26.8,59.7,38,418,3420,38.0,48,28,76,41,7,10,84,4,55.9,48.6,38.8,87.4,751,1842,1.26,0.74,2.0,1.08,1.82,1.47,1.02,2.49,1.28,2.3,2017-2018
Athletic Club,26,26.7,49.6,38,418,3420,38.0,39,25,64,33,6,8,93,0,49.7,43.8,33.7,77.5,652,1519,1.03,0.66,1.68,0.87,1.53,1.31,0.89,2.19,1.15,2.04,26,27.0,50.4,38,418,3420,38.0,46,33,79,43,3,6,106,8,50.3,45.6,37.1,82.6,666,1311,1.21,0.87,2.08,1.13,2.0,1.32,0.98,2.3,1.2,2.17,2017-2018
Atlético Madrid,26,26.6,47.5,38,418,3420,38.0,57,41,98,53,4,5,96,5,50.2,46.3,36.6,82.9,703,1460,1.5,1.08,2.58,1.39,2.47,1.32,0.96,2.28,1.22,2.18,26,26.8,52.5,38,418,3420,38.0,21,17,38,20,1,4,98,0,35.8,32.6,27.6,60.2,737,1677,0.55,0.45,1.0,0.53,0.97,0.94,0.73,1.67,0.86,1.58,2017-2018
Barcelona,25,27.7,62.8,38,418,3420,38.0,96,74,170,93,3,5,67,2,83.5,80.1,64.6,144.7,1025,2151,2.53,1.95,4.47,2.45,4.39,2.2,1.7,3.9,2.11,3.81,25,26.7,37.2,38,418,3420,38.0,29,22,51,27,2,2,99,4,41.9,40.5,32.3,72.8,632,1190,0.76,0.58,1.34,0.71,1.29,1.1,0.85,1.95,1.06,1.91,2017-2018
Betis,29,27.1,56.9,38,418,3420,38.0,56,43,99,54,2,3,91,3,46.0,43.7,35.2,78.9,736,1506,1.47,1.13,2.61,1.42,2.55,1.21,0.93,2.14,1.15,2.08,29,26.8,43.1,38,418,3420,38.0,57,45,102,54,3,4,96,4,49.0,45.8,35.9,81.7,622,1354,1.5,1.18,2.68,1.42,2.61,1.29,0.95,2.24,1.2,2.15,2017-2018
Celta Vigo,23,25.7,55.7,38,418,3420,38.0,57,45,102,55,2,3,85,1,55.0,52.6,43.0,95.6,724,1595,1.5,1.18,2.68,1.45,2.63,1.45,1.13,2.58,1.39,2.52,23,26.8,44.3,38,418,3420,38.0,59,48,107,55,4,5,97,1,55.3,51.4,41.5,92.9,611,1361,1.55,1.26,2.82,1.45,2.71,1.46,1.09,2.55,1.35,2.44,2017-2018
Eibar,27,27.4,52.0,38,418,3420,38.0,43,31,74,41,2,3,86,3,40.9,38.6,30.2,68.8,635,1468,1.13,0.82,1.95,1.08,1.89,1.08,0.79,1.87,1.02,1.81,27,26.8,48.0,38,418,3420,38.0,47,36,83,43,4,4,78,6,44.4,41.3,34.4,75.7,488,1056,1.24,0.95,2.18,1.13,2.08,1.17,0.91,2.08,1.09,1.99,2017-2018
Espanyol,25,26.8,46.9,38,418,3420,38.0,33,24,57,31,2,3,88,1,41.1,38.7,27.8,66.4,532,1276,0.87,0.63,1.5,0.82,1.45,1.08,0.73,1.81,1.02,1.75,25,26.5,53.1,38,418,3420,38.0,40,26,66,36,4,6,113,3,52.3,47.5,35.9,83.5,706,1615,1.05,0.68,1.74,0.95,1.63,1.38,0.95,2.32,1.25,2.2,2017-2018
Getafe,32,28.2,40.2,38,418,3420,38.0,41,27,68,36,5,12,134,5,48.2,38.6,29.6,68.2,374,1092,1.08,0.71,1.79,0.95,1.66,1.27,0.78,2.05,1.02,1.79,32,26.7,59.8,38,418,3420,38.0,33,28,61,31,2,4,107,3,39.7,36.6,29.9,66.5,660,1580,0.87,0.74,1.61,0.82,1.55,1.04,0.79,1.83,0.96,1.75,2017-2018
Girona,25,26.3,46.8,38,418,3420,38.0,50,31,81,44,6,8,102,0,50.6,44.4,34.4,78.8,590,1215,1.32,0.82,2.13,1.16,1.97,1.33,0.9,2.24,1.17,2.07,25,26.8,53.2,38,418,3420,38.0,56,39,95,52,4,5,112,3,50.4,46.5,34.6,81.1,721,1436,1.47,1.03,2.5,1.37,2.39,1.33,0.91,2.24,1.22,2.13,2017-2018
La Coruña,32,28.2,46.8,38,418,3420,38.0,38,30,68,35,3,5,100,2,51.6,47.7,40.0,87.7,640,1477,1.0,0.79,1.79,0.92,1.71,1.36,1.05,2.41,1.25,2.31,32,26.7,53.2,38,418,3420,38.0,73,53,126,69,4,5,75,2,58.7,54.8,43.3,98.1,774,1709,1.92,1.39,3.32,1.82,3.21,1.55,1.14,2.69,1.44,2.58,2017-2018
Las Palmas,36,27.0,54.7,38,418,3420,38.0,24,15,39,18,6,8,89,3,38.5,32.3,24.8,57.1,726,1332,0.63,0.39,1.03,0.47,0.87,1.01,0.65,1.66,0.85,1.5,36,26.7,45.3,38,418,3420,38.0,73,53,126,68,5,5,103,7,70.5,66.6,55.5,122.2,766,1410,1.92,1.39,3.32,1.79,3.18,1.86,1.46,3.32,1.75,3.21,2017-2018
Leganés,28,27.8,43.0,38,418,3420,38.0,32,23,55,30,2,3,105,5,39.9,37.6,30.0,67.6,534,1111,0.84,0.61,1.45,0.79,1.39,1.05,0.79,1.84,0.99,1.78,28,26.5,57.0,38,418,3420,38.0,51,28,79,45,6,7,82,4,47.6,42.2,31.5,73.7,645,1468,1.34,0.74,2.08,1.18,1.92,1.25,0.83,2.08,1.11,1.94,2017-2018
Levante,33,25.7,42.8,38,418,3420,38.0,43,28,71,38,5,5,111,6,44.7,40.8,31.8,72.7,676,1286,1.13,0.74,1.87,1.0,1.74,1.18,0.84,2.02,1.07,1.91,33,26.8,57.2,38,418,3420,38.0,55,41,96,50,5,6,93,6,63.6,58.8,45.3,104.1,758,1661,1.45,1.08,2.53,1.32,2.39,1.67,1.19,2.86,1.55,2.74,2017-2018
Málaga,37,27.2,44.1,38,418,3420,38.0,23,15,38,19,4,6,101,8,38.4,33.7,26.3,60.0,463,1169,0.61,0.39,1.0,0.5,0.89,1.01,0.69,1.7,0.89,1.58,37,26.7,55.9,38,418,3420,38.0,61,44,105,55,6,7,76,0,59.4,53.8,43.1,97.0,777,1777,1.61,1.16,2.76,1.45,2.61,1.56,1.14,2.7,1.42,2.55,2017-2018
Real Madrid,24,27.1,60.2,38,418,3420,38.0,91,65,156,83,8,10,67,4,85.4,77.5,62.8,140.2,1131,2383,2.39,1.71,4.11,2.18,3.89,2.25,1.65,3.9,2.04,3.69,24,26.9,39.8,38,418,3420,38.0,42,34,76,40,2,4,97,3,43.2,40.6,31.5,72.1,598,1229,1.11,0.89,2.0,1.05,1.95,1.14,0.83,1.97,1.07,1.9,2017-2018
Real Sociedad,27,25.9,56.5,38,418,3420,38.0,64,47,111,60,4,5,64,5,53.7,49.7,38.9,88.7,883,1605,1.68,1.24,2.92,1.58,2.82,1.41,1.02,2.44,1.31,2.33,27,26.8,43.5,38,418,3420,38.0,58,41,99,52,6,8,94,1,50.5,44.1,35.5,79.7,577,1244,1.53,1.08,2.61,1.37,2.45,1.33,0.94,2.27,1.16,2.1,2017-2018
Sevilla,31,27.1,54.3,38,418,3420,38.0,48,35,83,44,4,5,99,3,59.5,55.7,42.8,98.5,817,1824,1.26,0.92,2.18,1.16,2.08,1.57,1.13,2.69,1.47,2.59,31,26.9,45.7,38,418,3420,38.0,57,39,96,52,5,8,80,3,54.4,48.1,36.6,84.7,731,1410,1.5,1.03,2.53,1.37,2.39,1.43,0.96,2.39,1.27,2.23,2017-2018
Valencia,25,24.8,48.6,38,418,3420,38.0,63,45,108,55,8,8,107,5,56.0,49.8,39.9,89.7,739,1563,1.66,1.18,2.84,1.45,2.63,1.47,1.05,2.52,1.31,2.36,25,26.9,51.4,38,418,3420,38.0,38,28,66,35,3,5,97,5,48.3,44.4,35.2,79.7,728,1613,1.0,0.74,1.74,0.92,1.66,1.27,0.93,2.2,1.17,2.1,2017-2018
Villarreal,32,26.6,50.4,38,418,3420,38.0,56,45,101,52,4,5,117,6,53.3,49.3,42.0,91.3,719,1453,1.47,1.18,2.66,1.37,2.55,1.4,1.11,2.51,1.3,2.4,32,26.9,49.6,38,418,3420,38.0,50,37,87,45,5,8,83,4,53.4,47.2,36.2,83.4,805,1587,1.32,0.97,2.29,1.18,2.16,1.41,0.95,2.36,1.24,2.19,2017-2018
